Ailanthus altissima,Götterbaum
Ambrosia artemisiifolia,Aufrechte Ambrosie
Artemisia verlotiorum,Verlot'scher Beifuss
Buddleja davidii,Sommerflieder
Buddleja davidii,Schmetterlingsstrauch
Elodea canadensis,Gewöhnliche Wasserpest
Elodea nuttallii,Nuttalls Wasserpest
Heracleum mantegazzianum,Riesen-Bärenklau
Impatiens glandulifera,Drüsiges Springkraut
Lonicera japonica,Japanisches Geissblatt
Polygonum polystachyum,Himalaja-Knöterich 
Prunus laurocerasus,Kirschlorbeer
Prunus serotina,Herbstkirsche
Reynoutria japonica,Japanischer Stauden-Knöterich
Fallopia japonica,Japanischer Stauden-Knöterich
Polygonum cuspidatum,Japanischer Stauden-Knöterich
Reynoutria sachalinensis,Sachalin-Knöterich
Reynoutria. X bohemica,Bastard-Knöterich
Rhus typhina,Essigbaum
Robinia pseudoacacia,Falsche Akazie
Robinia pseudoacacia,Robinie
Rubus armeniacus,Armenische Brombeere
Senecio inaequidens,Schmalblättriges Greiskraut
Solidago canadensis,Kanadische Goldrute
Solidago gigantea,Spätblühende Goldrute
Solidago serotina,Spätblühende Goldrute
Ludwigia grandiflora,Grossblütiges Heusenkraut
Lysichiton americanus ,Amerikanischer Stinktierkohl
Pueraria lobata,Pueraria
Pueraria lobata,Kudzu
Pueraria lobata,Kopoubohne
